Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0201_0603Metric",205.820000,-77.400000,0.000000,top
"C2","0.1uF","C_0201_0603Metric",205.820000,-78.325000,0.000000,top
"C3","0.1uF","C_0201_0603Metric",205.820000,-79.250000,0.000000,top
"C4","0.1uF","C_0201_0603Metric",205.820000,-80.175000,0.000000,top
"C5","0.1uF","C_0201_0603Metric",205.820000,-81.100000,0.000000,top
"C6","0.1uF","C_0201_0603Metric",205.820000,-82.025000,0.000000,top
"C7","0.1uF","C_0201_0603Metric",205.820000,-82.950000,0.000000,top
"C8","0.1uF","C_0201_0603Metric",205.820000,-83.875000,0.000000,top
"C9","1uF","C_0201_0603Metric",205.820000,-84.800000,0.000000,top
"C10","0.1uF","C_0201_0603Metric",205.780000,-73.650000,0.000000,top
"C11","0.1uF","C_0201_0603Metric",205.780000,-74.575000,0.000000,top
"C12","1uF","C_0201_0603Metric",205.780000,-75.500000,0.000000,top
"C13","1uF","C_0201_0603Metric",206.425000,-62.675000,90.000000,top
"C14","1uF","C_0201_0603Metric",201.925000,-65.875000,180.000000,top
"C15","4.7uF","C_0201_0603Metric",206.900000,-87.350000,90.000000,top
"C16","4.7uF","C_0201_0603Metric",203.625000,-86.475000,0.000000,top
"C17","10uF","C_0201_0603Metric",204.975000,-92.400000,0.000000,top
"C18","33pF","C_0201_0603Metric",199.075000,-87.200000,90.000000,top
"C19","33pF","C_0201_0603Metric",199.100000,-89.025000,-90.000000,top
"C20","0.1uF","C_0201_0603Metric",204.025000,-71.425000,90.000000,top
"C21","0.1uF","C_0201_0603Metric",194.855000,-95.850000,0.000000,top
"C22","10uF","C_0201_0603Metric",194.700000,-95.025000,0.000000,top
"C23","0.1uF","C_0201_0603Metric",196.525000,-95.575000,-90.000000,top
"C24","2.2nF","C_0201_0603Metric",199.325000,-63.075000,0.000000,top
"C25","0.1uF","C_0201_0603Metric",198.500000,-69.475000,180.000000,top
"C26","0.1uF","C_0201_0603Metric",196.675000,-69.475000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",200.750000,-56.500000,180.000000,top
"J2","Conn_01x02_Pin","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",199.700000,-97.550000,0.000000,top
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",198.210000,-103.390000,90.000000,top
"R1","5.1K","R_0201_0603Metric",195.600000,-62.250000,180.000000,top
"R2","5.1K","R_0201_0603Metric",197.475000,-62.250000,180.000000,top
"R3","2k","R_0201_0603Metric",207.600000,-90.050000,-90.000000,top
"R4","15k","R_0201_0603Metric",206.825000,-92.650000,180.000000,top
"R5","27","R_0201_0603Metric",199.075000,-77.100000,180.000000,top
"R6","27","R_0201_0603Metric",200.950000,-77.100000,180.000000,top
"R7","1K","R_0201_0603Metric",200.050000,-87.225000,90.000000,top
"R8","1K","R_0201_0603Metric",201.425000,-67.275000,90.000000,top
"R9","10K","R_0201_0603Metric",194.825000,-70.025000,180.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",204.700000,-68.200000,180.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",198.762500,-81.700000,0.000000,top
"U2","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",197.900000,-66.200000,0.000000,top
"U3","MPL3115A2","NXP_LGA-8_3x5mm_P1.25mm_H1.1mm",197.275000,-92.650000,90.000000,top
"U4","MCP73871","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",204.300000,-89.437500,0.000000,top
"U5","AP2112K-3.3","SOT-23-5",203.900000,-63.900000,0.000000,top
"U6","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",198.900000,-73.000000,0.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",196.500000,-88.050000,180.000000,top
